Loan_ID,Application_Date,City,Region,Age,Employment_Type,Income,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Percent,Credit_Score,Debt_To_Income_Ratio,Approval_Status,Default_Flag,Loan_Status,Customer_Rating,Risk_Category
LN100101,2023-01-04,Pune,West,22,Salaried,108342.0,1167658.0,104,10.58,844.0,0.159,Approved,0,Active,5.0,Low
LN100198,2023-12-15,Delhi,North,39,Salaried,58652.0,586319.0,65,9.62,682.0,0.198,Approved,0,Active,4.5,Medium
LN100220,2024-07-31,Bengaluru,South,38,Business,41450.0,391019.0,86,12.08,664.0,0.164,Approved,0,Paid,4.6,Medium
LN102858,2024-10-21,Delhi,North,21,Business,79924.0,1093868.0,66,11.6,665.0,0.281,Approved,0,Active,4.6,Medium
LN100711,2023-10-04,Hyderabad,South,24,Self-Employed,98108.0,783510.0,99,11.21,671.0,0.124,Approved,0,Paid,5.0,Medium
LN101234,2024-03-22,Bengaluru,South,42,Salaried,82869.0,860930.0,49,12.06,656.0,0.27,Approved,1,Defaulted,2.6,Medium
LN102230,2024-04-29,Mumbai,West,26,Business,166805.0,1429386.0,71,8.57,674.0,0.154,Approved,0,Active,4.6,Medium
LN102204,2024-01-11,Pune,West,37,Salaried,65434.0,746410.0,74,10.39,723.0,0.209,Rejected,0,Rejected,5.0,Low
LN102749,2023-05-10,Pune,West,29,Business,117293.0,1211829.0,59,12.54,650.0,0.236,Approved,0,Active,4.6,Medium
LN101342,2023-06-04,Hyderabad,South,34,Salaried,85883.0,1006043.0,87,13.18,753.0,0.21,Approved,0,Paid,5.0,Low
LN100134,2024-11-18,Delhi,North,30,Salaried,84411.0,1022298.0,86,11.41,673.0,0.207,Approved,0,Active,5.0,Medium
LN100949,2023-12-20,Hyderabad,South,21,Business,114094.0,1253713.0,103,12.05,549.0,0.172,Rejected,0,Rejected,4.3,High
LN101724,2023-02-01,Delhi,North,42,Salaried,62735.0,562123.0,75,10.7,,0.164,Approved,0,Paid,4.4,High
LN100319,2023-05-15,Bengaluru,South,35,Business,,1093595.0,76,8.93,667.0,0.207,Approved,0,Active,4.4,Medium
LN102058,2024-07-21,delhi,North,40,Salaried,54859.0,766563.0,63,10.32,787.0,0.288,Approved,0,Paid,4.8,Low
LN101206,2024-04-11,Chennai,South,21,Self-Employed,45119.0,100000.0,91,9.89,754.0,0.05,Rejected,0,Rejected,4.9,Low
LN100188,2023-06-11,Delhi,North,21,Self-Employed,56607.0,131142.0,78,12.73,676.0,0.05,Rejected,0,Rejected,4.4,Medium
LN100025,2023-12-14,Bengaluru,South,43,Salaried,,,89,12.36,676.0,0.088,Rejected,0,Rejected,4.3,Medium
LN101979,2024-09-19,Bengaluru,South,21,Salaried,87166.0,3175374.936021629,85,10.22,777.0,0.107,Rejected,0,Rejected,4.9,Low
LN102075,2023-05-30,Mumbai,West,33,Salaried,81792.0,450576.0,76,8.81,731.0,0.095,Approved,0,Paid,3.8,Low
LN102139,2023-03-09,Delhi,North,32,Salaried,35618.0,344734.0,89,11.2,675.0,0.161,Rejected,0,Rejected,4.4,Medium
LN101758,2023-02-13,Hyderabad,South,41,Salaried,88030.0,945590.0,96,10.23,678.0,0.164,Approved,1,Defaulted,2.4,Medium
LN100937,2023-07-30,Pune,West,29,Salaried,114299.0,1373326.0,78,9.82,674.0,0.209,Approved,0,Active,4.8,Medium
LN101881,2024-11-20,delhi,North,44,Self-Employed,37021.0,100000.0,105,12.67,676.0,0.05,Rejected,0,Rejected,4.3,Medium
LN101067,2023-03-12,Pune,West,39,Self-Employed,59199.0,431862.0,61,12.36,562.0,0.162,Rejected,0,Rejected,4.5,High
LN100853,2024-08-22,Chennai,South,37,Salaried,39161.0,687572.0,97,9.0,731.0,0.255,Rejected,0,Rejected,5.0,Low
LN101676,2024-09-22,Bengaluru,South,35,Business,88745.0,1166326.0,61,11.49,632.0,0.285,Approved,0,Paid,4.8,High
LN101316,2023-06-16,Hyderabad,South,31,salaried,20000.0,159940.0,55,11.01,,0.186,Approved,0,Active,4.6,Medium
LN100565,2024-10-25,Bengaluru,South,34,Business,46479.0,211447.0,89,11.92,670.0,0.077,Approved,0,Active,4.3,Medium
LN102832,2024-08-17,Delhi,North,24,Business,103767.0,1155257.0,98,12.48,625.0,0.182,Rejected,0,Rejected,4.6,High
LN100244,2023-01-14,Bengaluru,South,26,Salaried,127407.0,1493584.0,89,10.63,821.0,0.191,Approved,0,paid,5.0,Low
LN101750,2024-06-17,Bengaluru,South,38,Business,78328.0,1031279.0,104,12.65,619.0,0.209,Approved,0,Paid,4.9,High
LN102502,2024-12-21,Mumbai,West,39,Business,108528.0,1096891.0,57,10.79,603.0,0.227,Rejected,0,Rejected,4.4,High
LN102376,2023-11-14,Hyderabad,South,37,Salaried,102949.0,1617879.0,72,12.6,679.0,0.312,Approved,0,active,3.8,Medium
LN100242,2023-12-19,Chennai,South,39,Business,89858.0,408162.0,109,10.16,600.0,0.064,Approved,1,Defaulted,1.9,High
LN100471,2023-10-04,Delhi,North,21,Salaried,129953.0,1418886.0,63,10.28,814.0,0.225,approved,0,Paid,5.0,Low
LN102588,2023-02-23,Mumbai,West,38,Self-Employed,67115.0,485906.0,79,11.03,663.0,0.129,Rejected,0,Rejected,4.8,Medium
LN102549,2024-08-08,Chennai,South,32,Salaried,33833.0,100000.0,54,11.05,703.0,0.07,Approved,0,Paid,5.0,Medium
LN100822,2023-01-30,Pune,West,29,,51309.0,134439.0,83,10.29,,0.05,Rejected,0,Rejected,5.0,Low
LN100465,2023-05-14,Delhi,North,33,Self-Employed,99431.0,1189187.0,80,8.66,681.0,0.197,Approved,0,Active,4.3,Medium
LN101183,2023-07-28,mumbai,West,29,Self-Employed,60369.0,1168697.0,87,10.5,673.0,0.319,Rejected,0,Rejected,4.4,Medium
LN100541,2024-10-08,Chennai,South,21,Salaried,76327.0,795939.0,68,11.9,761.0,0.212,Approved,0,Paid,5.0,Low
LN101226,2024-05-05,Chennai,South,39,Salaried,60401.0,257897.0,66,11.52,786.0,0.088,Approved,0,Active,5.0,Low
LN100982,2023-03-15,Delhi,North,27,Self-Employed,69514.0,230673.0,87,10.62,658.0,0.055,Approved,0,Active,4.4,Medium
LN102755,2023-08-27,Delhi,North,21,Self-Employed,,1110054.0,85,9.92,672.0,0.221,Approved,1,Defaulted,1.5,Medium
LN100923,2023-10-06,Mumbai,West,25,Salaried,115431.0,1652650.0,115,7.5,669.0,0.175,Approved,1,Defaulted,2.2,Medium
LN102340,2023-07-28,Bengaluru,South,23,Business,60148.0,680844.0,44,11.42,708.0,0.316,Rejected,0,Rejected,4.7,Medium
LN102609,2024-11-08,Mumbai,West,47,Salaried,77734.0,994439.0,80,10.76,731.0,0.225,Approved,0,Active,5.0,Low
LN102860,2024-11-23,Chennai,South,34,Salaried,93998.0,1076996.0,61,10.26,639.0,0.242,Approved,0,Paid,5.0,High
LN100706,2023-01-04,Pune,West,46,Self-Employed,107013.0,745634.0,95,9.61,757.0,0.105,Rejected,0,Rejected,5.0,Low
LN102844,2023-06-17,Pune,West,39,Salaried,102133.0,1121349.0,93,9.09,805.0,0.165,Approved,0,Active,5.0,Low
LN100776,2024-07-19,Bengaluru,South,47,Salaried,81399.0,1018204.0,77,9.51,774.0,0.218,Approved,0,Paid,5.0,Low
LN101488,2024-06-02,Pune,West,38,Business,20000.0,238867.0,40,12.38,730.0,0.366,Approved,0,Paid,5.0,Low
LN102966,2023-04-18,Pune,West,35,Salaried,103096.0,1121217.0,69,10.38,697.0,0.21,Rejected,0,Rejected,4.8,Medium
LN101253,2024-06-26,Hyderabad,South,44,Self-Employed,62034.0,943181.0,85,12.65,540.0,0.272,Approved,0,Active,4.3,High
LN102568,2023-05-10,Mumbai,West,41,Salaried,78725.0,1193876.0,59,11.69,700.0,0.339,Approved,0,Paid,4.3,Medium
LN101020,2024-06-19,Chennai,South,26,Self-Employed,39641.0,611906.0,71,10.73,801.0,0.295,Approved,0,Active,5.0,Low
LN101289,2024-04-14,Delhi,North,26,Self-Employed,63658.0,553674.0,55,14.11,591.0,0.216,Approved,1,Defaulted,2.3,High
LN102070,2024-04-28,Chennai,South,29,Self-Employed,35454.0,306741.0,76,10.91,599.0,0.158,Rejected,0,Rejected,4.6,High
LN100673,2023-04-06,Hyderabad,South,35,Salaried,24513.0,201595.0,30,8.18,703.0,0.304,Approved,0,Paid,3.7,Medium
LN102725,2023-12-30,Chennai,South,40,Salaried,109459.0,886639.0,83,11.73,724.0,0.143,Approved,0,Active,5.0,Low
LN101999,2024-10-13,Delhi,North,29,Business,91815.0,643720.0,87,11.49,741.0,0.119,Approved,0,Active,5.0,Low
LN101380,2023-06-11,Bengaluru,South,38,Business,126471.0,1291095.0,81,9.69,706.0,0.172,Approved,0,Paid,4.5,Medium
LN100736,2024-07-20,Pune,West,35,Salaried,103509.0,1252205.0,77,31.234770222130454,774.0,0.205,Approved,0,Active,5.0,low
LN101402,2023-10-22,Pune,West,46,Business,56017.0,964146.0,105,11.46,615.0,0.26,Approved,0,Paid,4.6,high
LN101824,2024-10-25,Pune,West,32,Self-Employed,45671.0,580185.0,67,12.09,,0.9857362327962247,Approved,0,Paid,5.0,Low
LN100591,2023-01-04,Bengaluru,South,33,Salaried,65781.0,3537433.5588667216,60,11.81,769.0,0.219,Rejected,0,Rejected,5.0,Low
LN102314,2024-06-26,Mumbai,West,32,Salaried,147672.0,1490524.0,42,10.68,721.0,0.289,Approved,0,paid,4.7,Low
LN102115,2024-06-09,Bengaluru,South,37,Business,106432.0,1130682.0,87,10.31,755.0,0.174,Approved,0,Active,5.0,Low
LN101052,2023-05-09,Hyderabad,South,40,Self-Employed,92937.0,1267964.0,42,11.32,670.0,0.395,Approved,0,Paid,4.5,Medium
LN100275,2023-04-27,Chennai,South,33,Self-Employed,41808.0,160553.0,67,13.78,704.0,0.082,Approved,0,Paid,4.5,Medium
LN101127,2024-02-29,Mumbai,West,37,Business,105314.0,1592527.0,64,12.29,683.0,0.323,Approved,1,Defaulted,2.0,Medium
LN102045,2024-03-16,Hyderabad,South,42,salaried,64474.0,738864.0,72,12.18,737.0,0.225,Approved,0,Paid,5.0,Low
LN102175,2023-10-03,Hyderabad,South,42,Business,78885.0,624566.0,58,11.68,644.0,0.179,Rejected,0,Rejected,5.0,High
LN100033,2024-11-30,Hyderabad,South,37,Salaried,114682.0,873321.0,118,10.08,700.0,0.102,Approved,0,Paid,4.3,Medium
LN101353,2024-11-24,Bengaluru,South,34,Salaried,146096.0,1441147.0,82,10.42,801.0,0.169,Approved,1,Defaulted,2.2,Low
LN101533,2023-10-05,Delhi,North,30,Self-Employed,20000.0,316633.0,114,11.64,,0.23,Approved,0,Active,4.6,Medium
LN101269,2024-05-16,Mumbai,West,47,Self-Employed,100586.0,717207.0,71,11.52,705.0,0.139,Approved,0,Active,5.0,Medium
LN102347,2024-01-07,Chennai,South,27,Self-Employed,126285.0,1539270.0,86,11.94,698.0,0.212,Approved,0,Active,4.1,Medium
LN102511,2023-06-22,Bengaluru,South,23,Salaried,83985.0,912833.0,109,10.18,680.0,0.153,Approved,1,Defaulted,1.4,Medium
LN102734,2024-11-09,Delhi,North,46,Self-Employed,118476.0,1601589.0,73,10.66,690.0,0.252,Approved,0,Active,3.6,Medium
LN101652,2023-08-03,Hyderabad,South,31,Salaried,89475.0,,43,11.31,735.0,0.371,Approved,0,Active,5.0,Low
LN101107,2023-09-21,Pune,West,48,Salaried,68971.0,,54,9.4,746.0,0.256,Approved,1,Defaulted,2.5,Low
LN102459,2024-10-18,Delhi,North,43,Salaried,58541.0,599073.0,58,12.26,681.0,0.235,Approved,0,Active,4.3,Medium
LN101000,2024-09-02,Hyderabad,South,30,Self-Employed,128600.0,1346414.0,55,10.23,744.0,0.239,Approved,0,Paid,3.9,Low
LN100641,2024-07-18,Bengaluru,South,40,Salaried,86611.0,1087240.0,58,10.67,639.0,0.278,Approved,0,Paid,5.0,High
LN100015,2024-07-13,Hyderabad,South,45,business,139177.0,972688.0,43,11.93,716.0,0.201,Rejected,0,Rejected,4.7,Medium
LN102505,2024-06-15,Chennai,South,42,Salaried,75214.0,476919.0,69,9.37,737.0,0.119,Approved,0,Active,5.0,Low
LN102334,2023-10-23,Delhi,North,34,Self-Employed,106708.0,1300817.0,104,10.38,734.0,0.178,Approved,0,Paid,5.0,Low
LN100476,2023-05-19,Chennai,South,31,Salaried,74031.0,761047.0,67,10.39,679.0,0.203,Approved,0,Paid,4.8,Medium
LN102804,2023-09-17,Mumbai,West,35,Salaried,101203.0,959983.0,36,8.07,738.0,1.020560756928724,Approved,0,Active,4.6,Low
LN101772,2023-07-15,hyderabad,South,33,Salaried,55612.0,680734.0,57,10.04,739.0,0.271,Approved,0,Active,5.0,Low
LN100559,2024-05-08,Mumbai,West,28,Business,49651.0,100000.0,60,12.64,680.0,0.05,Rejected,0,Rejected,4.8,medium
LN101313,2024-01-02,Mumbai,West,30,Salaried,115059.0,1185260.0,63,9.25,721.0,0.207,Approved,0,Active,5.0,Low
LN102163,2023-09-22,Chennai,South,30,Business,94429.0,700566.0,54,12.08,671.0,0.179,Rejected,0,Rejected,4.5,Medium
LN101867,2023-07-30,Pune,West,37,Salaried,87932.0,514783.0,39,12.65,706.0,0.184,Approved,0,Active,4.5,Medium
LN101757,2024-04-17,Pune,West,37,Self-Employed,92625.0,652451.0,90,12.75,686.0,0.122,Approved,0,Active,5.0,Medium
LN101702,2023-08-04,Mumbai,West,57,Salaried,75326.0,638920.0,101,10.27,713.0,0.126,Approved,0,Paid,5.0,Medium
LN101548,2024-05-03,Mumbai,West,38,Business,116663.0,1204505.0,65,11.88,724.0,0.216,Rejected,0,Rejected,5.0,Low
LN102752,2024-11-30,Bengaluru,South,23,Salaried,88765.0,,81,10.64,767.0,0.227,Rejected,0,Rejected,4.8,Low
LN100875,2023-12-06,Delhi,North,33,Salaried,128408.0,943504.0,59,8.49,798.0,0.153,Approved,0,Paid,4.4,Low
LN101436,2023-12-04,Chennai,South,32,Salaried,115014.0,1121108.0,100,9.93,772.0,0.144,Approved,0,Paid,5.0,Low
LN102496,2024-03-15,Pune,West,36,,127536.0,1375171.0,119,11.81,632.0,0.154,Approved,0,Active,3.5,High
LN102427,2023-08-26,Bengaluru,South,38,Business,86408.0,876049.0,99,9.65,666.0,0.149,Rejected,0,Rejected,4.9,Medium
LN100896,2023-03-16,pune,West,34,Business,115375.0,1356524.0,88,10.54,655.0,0.192,Rejected,0,Rejected,4.6,Medium
LN100809,2024-08-06,Pune,West,48,Self-Employed,20000.0,143349.0,71,10.17,657.0,0.135,Rejected,0,Rejected,4.5,Medium
LN100080,2024-11-22,Chennai,South,36,salaried,96781.0,,67,10.07,,0.216,Approved,0,Active,4.5,Medium
LN101182,2023-01-24,Hyderabad,South,26,Self-Employed,132217.0,1017950.0,56,10.48,672.0,0.174,Rejected,0,Rejected,4.3,Medium
LN102558,2024-05-23,Bengaluru,South,21,Salaried,70718.0,223482.0,45,12.46,790.0,0.088,Approved,0,Paid,5.0,Low
LN102929,2024-02-12,Pune,West,35,Salaried,80960.0,865269.0,78,11.09,665.0,0.193,Rejected,0,Rejected,5.0,Medium
LN102187,2023-07-04,Chennai,South,31,Salaried,61285.0,1031213.0,66,10.81,615.0,0.339,Rejected,0,Rejected,4.0,high
LN102036,2024-12-15,Delhi,North,33,Salaried,52363.0,128262.0,45,10.9,705.0,0.067,Approved,0,Active,4.6,Medium
LN100351,2023-08-01,Delhi,North,31,Business,,396578.0,74,12.37,670.0,0.106,Approved,0,Active,4.1,Medium
LN101262,2024-06-29,Bengaluru,South,43,Self-Employed,,1171502.0,94,13.64,706.0,0.211,Rejected,0,Rejected,5.0,Medium
LN102635,2023-03-02,Mumbai,West,37,Salaried,,100000.0,95,11.78,613.0,0.05,Approved,0,Paid,4.7,High
LN100084,2023-04-20,Chennai,South,42,salaried,98897.0,551649.0,76,12.74,785.0,0.107,Approved,0,Active,5.0,Low
LN101617,2023-04-11,Hyderabad,South,31,Self-Employed,71855.0,146164.0,63,11.79,806.0,0.05,Rejected,0,Rejected,5.0,Low
LN102579,2023-12-06,Chennai,South,42,Business,44307.0,489558.0,78,40.447346501221965,623.0,0.204,rejected,0,Rejected,4.8,High
LN101089,2024-02-26,Delhi,North,35,Self-Employed,41246.0,222134.0,111,11.43,696.0,0.079,Rejected,0,Rejected,4.5,Medium
LN100395,2023-02-21,Delhi,North,30,Self-Employed,91853.0,675540.0,65,9.59,689.0,0.146,Rejected,0,Rejected,4.7,Medium
LN101587,2023-03-05,Mumbai,West,36,Salaried,57777.0,432244.0,90,11.96,756.0,0.126,Approved,0,Paid,5.0,Low
LN100428,2024-11-19,Pune,West,31,Salaried,20000.0,261800.0,68,12.06,688.0,0.267,Rejected,0,Rejected,4.4,Medium
LN101266,2023-04-05,Chennai,South,45,Self-Employed,75746.0,363048.0,96,11.71,736.0,0.077,Rejected,0,Rejected,5.0,Low
LN101395,2024-11-04,Pune,West,38,Self-Employed,143494.0,1331465.0,56,9.18,730.0,0.204,Approved,0,Paid,5.0,Low
LN102029,2023-06-11,Delhi,North,35,Self-Employed,108467.0,1047484.0,59,10.98,651.0,0.213,approved,0,Paid,4.9,Medium
LN101732,2024-12-04,Bengaluru,South,26,Salaried,37389.0,163689.0,80,11.18,735.0,0.078,Approved,0,Active,5.0,Low
LN101845,2023-09-28,Hyderabad,South,35,Business,88193.0,839330.0,43,11.33,700.0,0.27,Approved,0,Active,4.6,Medium
LN101476,2024-01-07,Mumbai,West,38,Salaried,145041.0,1965973.0,101,8.2,706.0,0.186,Rejected,0,Rejected,4.8,Medium
LN102494,2024-03-03,Pune,West,23,Salaried,109383.0,902925.0,75,11.13,743.0,0.153,Approved,0,Active,5.0,Low
LN101785,2024-10-15,Bengaluru,South,36,Self-Employed,66748.0,378610.0,72,10.35,551.0,0.106,Rejected,0,Rejected,4.7,High
LN101481,2024-07-13,Hyderabad,South,25,Salaried,48095.0,543456.0,68,11.03,714.0,0.224,Rejected,0,Rejected,5.0,Medium
LN100574,2024-07-14,Bengaluru,South,35,Self-Employed,,1035214.0,82,12.8,551.0,0.205,Rejected,0,Rejected,4.5,High
LN100527,2023-10-26,Mumbai,West,27,Salaried,63416.0,612720.0,51,12.67,693.0,0.246,Approved,0,Paid,4.3,Medium
LN102905,2024-11-14,Delhi,North,53,Business,36289.0,196740.0,50,12.92,663.0,0.141,Approved,1,Defaulted,1.6,Medium
LN101036,2024-10-21,Pune,West,25,,78604.0,739786.0,84,10.7,659.0,0.16,Rejected,0,Rejected,4.7,Medium
LN100043,2024-03-18,Bengaluru,South,34,,153084.0,1568148.0,73,11.34,665.0,0.195,Rejected,0,Rejected,4.5,Medium
LN101300,2024-05-24,Delhi,North,38,Salaried,115827.0,1173228.0,77,8.95,710.0,0.173,Approved,1,Defaulted,1.8,Medium
LN100553,2024-11-21,Bengaluru,South,30,Salaried,99397.0,1368513.0,77,12.05,727.0,0.258,Approved,0,Active,5.0,Low
LN100728,2023-09-25,Hyderabad,South,35,Business,43738.0,353593.0,32,12.59,740.0,0.299,Approved,1,Defaulted,2.5,Low
LN101448,2024-07-22,Pune,West,29,,86648.0,625035.0,44,9.36,701.0,0.194,Rejected,0,Rejected,5.0,Medium
LN102285,2023-03-01,Pune,West,49,salaried,148503.0,1535449.0,112,10.74,764.0,0.147,Approved,0,Active,5.0,Low
LN101012,2023-11-14,Mumbai,West,27,,,863215.0,101,45.27582338281083,752.0,0.171,Approved,0,Paid,5.0,low
LN102232,2023-02-11,Chennai,South,21,Salaried,20000.0,231656.0,86,8.2,677.0,0.179,Rejected,0,rejected,4.8,Medium
LN100670,2023-10-30,Mumbai,West,30,Salaried,105572.0,1105830.0,53,11.07,697.0,0.251,Rejected,0,Rejected,4.8,Medium
LN100897,2023-08-15,Bengaluru,South,32,Salaried,20000.0,399771.0,90,10.94,734.0,0.327,Approved,0,Active,5.0,Low
LN102797,2023-02-17,Bengaluru,South,37,Business,108398.0,807757.0,97,11.9,,0.12,Approved,0,Paid,4.6,High
LN102873,2024-12-17,Delhi,North,32,Self-Employed,86096.0,932695.0,67,10.24,672.0,0.213,Approved,0,Active,3.6,Medium
LN102068,2023-05-29,Chennai,South,29,Salaried,93041.0,862386.0,106,11.6,714.0,0.14,Approved,0,Active,4.3,Medium
LN102671,2023-03-25,Pune,West,41,Self-Employed,96200.0,4036447.588817754,80,10.18,701.0,0.13,Approved,0,Paid,4.0,Medium
LN101916,2023-11-18,Delhi,North,34,Salaried,76527.0,509084.0,78,9.66,684.0,0.115,Approved,0,Paid,4.1,Medium
LN101050,2023-02-25,Pune,West,21,Business,81940.0,1246507.0,83,13.28,678.0,0.281,Rejected,0,Rejected,5.0,Medium
LN100917,2024-05-18,Hyderabad,South,41,Salaried,100401.0,1313650.0,20,8.65,674.0,0.705,Rejected,0,Rejected,5.0,High
LN102030,2024-03-12,Delhi,North,42,Self-Employed,77998.0,674552.0,84,9.64,643.0,0.142,Approved,1,Defaulted,1.3,High
LN101414,2023-04-18,Chennai,South,34,Salaried,82280.0,729264.0,74,10.94,674.0,0.165,Approved,0,Paid,4.5,Medium
LN102831,2023-07-27,Delhi,North,33,Salaried,52471.0,288100.0,96,11.01,693.0,0.086,Rejected,0,Rejected,4.8,Medium
LN100646,2024-02-24,delhi,North,35,Salaried,117662.0,1188305.0,52,12.15,596.0,0.251,Rejected,0,Rejected,5.0,High
LN102632,2024-07-18,Chennai,South,26,Business,133460.0,8782763.266353812,65,11.93,687.0,0.245,Approved,0,Active,4.5,Medium
LN102281,2024-12-11,Bengaluru,South,35,Self-Employed,49802.0,,55,12.21,830.0,0.316,Approved,0,Active,4.7,Low
LN100569,2024-04-29,Chennai,South,32,Salaried,139875.0,1649881.0,88,10.39,648.0,0.192,Approved,0,Active,5.0,high
LN101609,2023-07-06,Bengaluru,South,38,Salaried,,1843704.0,126,9.18,642.0,0.166,Approved,0,Paid,5.0,High
LN101458,2024-07-10,Delhi,North,33,Salaried,65040.0,993545.0,56,10.89,753.0,0.349,Rejected,0,Rejected,5.0,Low
LN101306,2024-08-08,Mumbai,West,31,Salaried,67413.0,778345.0,70,11.11,687.0,0.225,Rejected,0,Rejected,4.5,Medium
LN100972,2024-09-01,Chennai,South,25,Salaried,116978.0,1202611.0,93,9.86,661.0,0.159,Rejected,0,Rejected,4.1,Medium
LN102791,2023-01-30,Mumbai,West,43,Salaried,130771.0,698963.0,92,10.81,713.0,0.086,Rejected,0,Rejected,4.4,Medium
LN102177,2023-09-26,Delhi,North,41,Business,72412.0,736940.0,64,12.24,683.0,0.217,Approved,0,Active,4.9,Medium
LN101532,2023-12-21,Delhi,North,31,Salaried,102215.0,1059139.0,85,12.35,751.0,0.183,Approved,0,Paid,5.0,Low
LN100975,2023-10-27,Delhi,North,31,,86594.0,996074.0,91,9.65,,0.179,approved,0,Active,4.4,medium
LN100501,2024-08-29,Pune,West,33,Self-Employed,100916.0,1080167.0,67,13.06,719.0,0.226,Approved,0,Active,4.8,Medium
LN100289,2023-09-25,Hyderabad,South,37,Business,90066.0,629868.0,107,10.32,688.0,0.1,Rejected,0,Rejected,4.1,Medium
LN100148,2023-08-29,Mumbai,West,39,salaried,75139.0,609646.0,84,11.2,681.0,0.14,Approved,0,Active,4.8,Medium
LN100856,2023-01-31,Delhi,North,27,business,23300.0,209542.0,84,8.71,640.0,0.143,Approved,0,Paid,5.0,High
LN100085,2024-11-23,Chennai,South,42,Salaried,128846.0,1446598.0,94,9.32,716.0,0.169,Approved,0,Active,4.4,Medium
LN102575,2024-12-11,Delhi,North,25,Salaried,60616.0,791024.0,51,9.84,697.0,0.314,Approved,0,Paid,4.7,Medium
LN101721,2023-07-11,Mumbai,West,30,Business,61978.0,252662.0,99,9.5,742.0,0.06,Rejected,0,rejected,4.7,Low
LN100664,2023-02-17,Hyderabad,South,30,Salaried,43369.0,458178.0,76,10.65,657.0,0.192,Approved,0,Active,4.8,Medium
LN102443,2024-03-08,Delhi,North,33,Salaried,86050.0,1050793.0,76,8.52,658.0,0.208,approved,0,Active,4.3,Medium
LN101923,2024-12-04,Bengaluru,South,28,Salaried,110250.0,443945.0,108,11.66,704.0,0.06,Rejected,0,Rejected,4.6,medium
LN102430,2023-04-09,Pune,West,35,Self-Employed,81382.0,584835.0,56,12.46,764.0,0.17,Approved,0,Paid,5.0,Low
LN102020,2024-05-26,Pune,West,35,Business,136882.0,6229307.588299907,90,11.41,677.0,0.163,Approved,0,Paid,4.8,Medium
LN101415,2023-09-04,Pune,West,48,Salaried,109749.0,648849.0,74,9.24,612.0,0.105,Approved,0,paid,5.0,High
LN100045,2023-08-05,Hyderabad,South,50,Business,117483.0,963035.0,30,12.74,567.0,0.321,Approved,0,Active,4.8,High
LN101027,2023-07-11,Bengaluru,South,32,Salaried,59075.0,583975.0,38,9.51,580.0,0.302,Approved,0,Active,4.4,high
LN102442,2024-05-23,Bengaluru,South,42,Self-Employed,60705.0,696011.0,104,11.25,,0.173,Approved,0,Paid,4.7,High
LN102307,2023-05-11,Chennai,South,39,Self-Employed,,846406.0,51,9.98,648.0,0.21,Approved,0,Active,4.6,High
LN101015,2024-02-03,Chennai,South,29,Self-Employed,46291.0,443179.0,57,11.81,713.0,0.22,Rejected,0,Rejected,3.9,Medium
LN101255,2024-02-14,Hyderabad,South,34,Self-Employed,71036.0,484477.0,91,10.4,616.0,0.109,Approved,0,Paid,4.6,High
